weight_in_strategy,cagr,vol,sharpe,max_dd,worst_month,beta_spy
0.0,0.08952979749131051,0.12239890097270341,0.5744776907148273,-0.21717007402750588,-0.07196718753660525,0.6171609655267132
0.25,0.10265523207942162,0.12708093318006414,0.6521142424118628,-0.2320645189387086,-0.08777228614140586,0.6193486671173335
0.5,0.11464034275633095,0.14017420883121723,0.6807696961672758,-0.2940465528882159,-0.10761103745113976,0.6215363687079537
0.75,0.1254455543523405,0.15962213721771482,0.6764764292109737,-0.3531108784977709,-0.12719802234408784,0.6237240702985751
1.0,0.13503488631372562,0.18341433200106194,0.6571699651814025,-0.41012577396107874,-0.14653197981446198,0.6259117718891952
