,corr_daily,corr_monthly
SPY,0.012568528034804587,-0.09416872630103527
IWM,-0.22026138773436746,-0.34872498470894475
QQQ,0.21987959096356274,0.14598267495009817
DIA,-0.11871259869994083,-0.27800020238534073
RSP,-0.19534715103035893,-0.32481517159989104
VTI,-0.016623849246918614,-0.1304345754648313
AGG,-0.059339825804028905,-0.06288035881025374
TLT,0.001015733998735681,0.05388732234057272
GLD,-0.07215427498396543,0.05586366817122151
60/40,0.00039030239028112266,-0.09534569452968011
