trial,shift_days,sharpe,cagr,max_dd,n_days
0,647,-0.18209298736228965,-0.011396177172540711,-0.42505616611670816,1761
1,-461,1.0236249050170674,0.1834547852775288,-0.19212742738134214,1761
2,-349,0.9021913481714183,0.15878364309884319,-0.1635738600273543,1761
3,-221,0.63634014942287,0.11137308079647346,-0.25109011465807873,1761
4,276,0.05260211172360179,0.020549490926521807,-0.40401539420719956,1761
5,537,0.056381081303019234,0.021001583049623296,-0.4181068879020634,1761
6,456,0.03186334002086767,0.01784662149130556,-0.37219135777369505,1761
7,713,-0.05628938780604733,0.00561269642244322,-0.4196613561886704,1761
8,527,-0.009616288746094766,0.011718336087395587,-0.4152712360529859,1761
9,487,0.056169308586302674,0.021349013359464708,-0.3832199748933838,1761
10,332,0.11561348378558986,0.029750627401570418,-0.42718889269837657,1761
11,-548,1.1773918212011434,0.21102181579284496,-0.1711895603324004,1761
12,396,0.18928927338009585,0.04057831420508817,-0.3929956494140394,1761
13,-484,1.0418294248599727,0.18410587693646407,-0.17476467263381168,1761
14,600,0.11148280217095587,0.029253785766568896,-0.37600007243567546,1761
15,-645,1.2770382374574023,0.23083299930140688,-0.13836603443828777,1761
16,229,0.03155430622653693,0.01764010647344394,-0.39617483804184483,1761
17,192,0.3089048655121943,0.05785594377668546,-0.3055735077814653,1761
18,-224,0.6532457884065,0.11388854705783391,-0.24166420144118717,1761
19,-444,0.9460208452883967,0.16833512461871836,-0.20426956559438902,1761
20,-401,1.1007258363724723,0.19491434273890884,-0.19280811537596398,1761
21,-182,0.6264331141221543,0.10903845663621237,-0.1969254268818994,1761
22,184,0.2013156865385241,0.04212770266440846,-0.320060011445648,1761
23,469,0.029557501627350043,0.017377962998725627,-0.37860194714913387,1761
24,321,0.07214054983982755,0.023426058783710513,-0.393640975612115,1761
25,-600,1.0642414913098415,0.1944264672018612,-0.2254196164824699,1761
26,433,0.06466349401945232,0.022594804521005374,-0.3697183171669155,1761
27,622,-0.06193038705840366,0.0045110642082411,-0.430178336977164,1761
28,388,0.18628824912653408,0.040125751593941716,-0.3809791959977271,1761
29,702,-0.048856224811437164,0.006806974347119299,-0.42451749239852543,1761
30,642,-0.1352446247645909,-0.005105106215460342,-0.41825437044540714,1761
31,-567,1.2316413142651867,0.2246673111946813,-0.16040790418330597,1761
32,-661,1.381574623593378,0.26191423229287136,-0.13358019945594424,1761
33,498,0.04908527079418205,0.020354989101289744,-0.37992453640260937,1761
34,645,-0.12984329734686714,-0.004389947833071894,-0.40678963490537035,1761
35,-386,1.0827869309069296,0.19285213977038218,-0.1747883133508612,1761
36,-412,1.0429261925086297,0.18524818791396136,-0.2026723749769821,1761
37,575,-0.0036453418642757337,0.01263930301063887,-0.42775352987389204,1761
38,220,0.00633196061769882,0.013976556109121185,-0.399719980176258,1761
39,-472,1.0507982554906745,0.1865740293296454,-0.1865656808710061,1761
40,550,0.07716987058120212,0.024063840643155476,-0.42179918236068936,1761
41,-320,0.7646174509152627,0.134359533399663,-0.18619920241902455,1761
42,575,-0.0036453418642757337,0.01263930301063887,-0.42775352987389204,1761
