pelosi_hold_days,cramer_hold_days,beta_window,is_sharpe,is_cagr,is_max_dd,is_n_days,oos_sharpe,oos_cagr,oos_max_dd,oos_n_days,is_mean_abs_beta
252,63,252,0.5934403992798306,0.0850595506085341,-0.20666534735771858,1008,0.2168717857730194,0.06196757207774106,-0.277567454446341,753,0.006590298329200931
252,126,252,0.5752149148515455,0.0846904650486362,-0.22034001430106953,1008,0.2730859538446909,0.07104171940220105,-0.2678707574535707,753,0.006652751933558558
252,63,63,0.5745061226793199,0.08170442161026448,-0.2075457664849909,1008,0.3164797338947734,0.07761685402415686,-0.2558496237594954,753,0.0
252,63,126,0.5600427414627637,0.07995789593800051,-0.20847726702257752,1008,0.24503613404728472,0.06631717269001958,-0.26645696683780595,753,0.006136334271545941
252,126,63,0.5527908198773434,0.08087989997357625,-0.22429323896048037,1008,0.37331241619315014,0.08713719335628611,-0.24933988274419727,753,0.0
252,21,252,0.5480819099370257,0.07668153204336048,-0.20180989244676217,1008,0.16479479224594143,0.053869581264278876,-0.2860724761344403,753,0.005350754360815458
252,126,126,0.539909347011095,0.079132638040887,-0.2260756249653867,1008,0.3017313904132514,0.07552696869524556,-0.2565053245591452,753,0.006136334271545941
504,63,252,0.5380905185006591,0.08321123277608677,-0.24851019482423564,1008,0.029357154998353015,0.0338246694496267,-0.2828895796994857,753,0.0015477120853704721
252,21,63,0.5242132008459395,0.07277333000851516,-0.20397666468771547,1008,0.27140146576998586,0.07037341468995195,-0.2656941263723507,753,0.0
504,126,252,0.5231172645564022,0.08270979059856476,-0.25957147116824253,1008,0.09097965339831636,0.042757219575962235,-0.2733348327546421,753,0.0016004386565127533
504,63,63,0.5050152204343309,0.07675785408506242,-0.25355854027821767,1008,0.13135557776251178,0.04880079460543563,-0.26643232778635706,753,0.0
252,21,126,0.5045044650841205,0.07033662477520952,-0.20358445674769066,1008,0.2053015537269407,0.06007962365329966,-0.275062295436028,753,0.006852417435071725
504,21,252,0.496490362156966,0.07494527206836832,-0.23721550195038632,1008,-0.02633532597914475,0.02585448701180537,-0.2917309695563999,753,0.0009986855604290537
504,63,126,0.4939838631204329,0.07556222584075578,-0.254982022787985,1008,0.05421926858073569,0.03748255286207347,-0.27628500680530343,753,0.0019351723726093646
504,126,63,0.48739703974114457,0.07584141405874223,-0.2670016214447055,1008,0.19345422409808305,0.058132615204211424,-0.2591458324766487,753,0.0
504,126,126,0.47782438932475246,0.07467503897301175,-0.2692984235349847,1008,0.11621617986480302,0.04653025039237435,-0.2662582561194885,753,0.0019351723726093646
504,21,63,0.45823256368416926,0.06796462666447445,-0.24739165854809508,1008,0.08275319309304681,0.041664774036700436,-0.2758724635740156,753,0.0
504,21,126,0.44172375437655,0.06596875630466492,-0.24256147117651738,1008,0.01093355510605389,0.03127801942533237,-0.28578536574980695,753,0.00202731783396903
63,63,252,0.17923289711371485,0.025185907934225815,-0.2373542719666606,1008,-0.03263282928269867,0.0297109703065348,-0.20842774253391294,753,0.006859237913287145
63,126,252,0.17847387513217092,0.02523508945048092,-0.22602550347925465,1008,0.04480849765737153,0.03833321405679824,-0.19855957133852076,753,0.006892629265683525
252,5,63,0.1724066176177886,0.02568317368735462,-0.22775217708266127,1008,-0.2297270134309341,-0.010824819417912912,-0.3425041292988519,753,0.0
252,5,252,0.14514648233397867,0.02171396655062119,-0.24378826585126556,1008,-0.3346301522933105,-0.027411451837951906,-0.35676677868084883,753,0.005189003007782693
504,5,63,0.1415913552381762,0.021163617742932628,-0.1966417078383388,1008,-0.4159270616627438,-0.036530538996383366,-0.35031050380240003,753,0.0
63,63,63,0.14085912677235296,0.020689339192517586,-0.22495210636327345,1008,0.006974008787087487,0.03427364524534804,-0.19925565236161746,753,0.00025610680274480626
63,126,63,0.13787971814612573,0.020400154580907603,-0.22221873946615922,1008,0.08632688856257882,0.04330381748517187,-0.18744559643520164,753,0.00025610680274480626
126,63,63,0.13721178041485355,0.02045404873026868,-0.2665172762326323,1008,0.6424931508425918,0.12260426090364951,-0.16168253073497352,753,0.00025610680274480626
126,63,126,0.1355378511829269,0.020250827842714703,-0.26827150538402755,1008,0.6124861338388333,0.11820047135351364,-0.1687961548525594,753,0.006440819337651665
126,63,252,0.13396364256693166,0.02005403977428455,-0.26739843360338245,1008,0.5872203023881494,0.11474449244936369,-0.17642925814013632,753,0.006590298329200931
126,126,63,0.13271902599172383,0.019923543697786705,-0.2810851894469666,1008,0.6995146633565111,0.1325460782211727,-0.15206707839332323,753,0.00025610680274480626
126,126,252,0.13233717389009703,0.019878048474736953,-0.2797762660148424,1008,0.6421293486685222,0.12425883556277517,-0.16679432454400134,753,0.006652751933558558
126,126,126,0.13037263560290835,0.019623035619914964,-0.283972538544789,1008,0.6680229950199008,0.12781563975005406,-0.15911172198465529,753,0.006440819337651665
63,63,126,0.12969437402496026,0.019419011059220503,-0.2251520449648341,1008,-0.03681918006297162,0.029297674743414603,-0.20637257359859562,753,0.006440819337651665
63,126,126,0.1259449102846647,0.019007935450657598,-0.22223384890770115,1008,0.04179011852851639,0.03801693545974061,-0.1964477430276289,753,0.006440819337651665
504,5,252,0.12508172234859682,0.018493566083313207,-0.21042254665252658,1008,-0.5286606927898885,-0.05310920093429028,-0.36028338981785035,753,0.0007601387092505914
252,5,126,0.11174036722167048,0.01685943944117896,-0.23527574216264324,1008,-0.29943758382125435,-0.021711152003322187,-0.3522981284514175,753,0.005319807985004347
63,21,252,0.10967393642564364,0.017106741768980305,-0.28904216236791647,1008,-0.1004984599454619,0.02169699488762311,-0.22236007329305518,753,0.005365542742043002
