,weight_chosen_is,is_sharpe_base,is_sharpe_blend,is_maxdd_base,is_maxdd_blend,is_cagr_base,is_cagr_blend,oos_sharpe_base,oos_sharpe_blend,oos_maxdd_base,oos_maxdd_blend,oos_cagr_base,oos_cagr_blend
SPY,0.5,0.8283626109569162,0.9772617785280092,-0.3371727424890648,-0.12648844670336767,0.17522126550393202,0.13020561438887523,0.35044113324126613,0.39049853775538806,-0.2449639898720679,-0.22595409164856783,0.08877567278618326,0.08093120055524117
60/40,0.35000000000000003,0.8895959830902304,1.0334712924243201,-0.21717007402750588,-0.10612547319060128,0.12318757764211274,0.10868202636139146,0.10922295863981331,0.2026339935191428,-0.2031525209097591,-0.19731161432214528,0.04604736613991611,0.054921908600487956
QQQ,0.35000000000000003,1.0657420757662162,1.1076755735059198,-0.28559369035445803,-0.1697270781312814,0.27279556483079426,0.20678151405592815,0.3362692128539851,0.3578350330744607,-0.34827973657011635,-0.3124260648214666,0.09489561088726206,0.09000796763369379
