bucket,n_months,spy_avg,strat_avg,strat_hit
Q1 (worst SPY months),17.0,-0.06332280744919737,0.00030580877349418263,0.5882352941176471
Q2,17.0,-0.009029391273303286,0.020335502505445992,0.6470588235294118
Q3,16.0,0.02046601495403405,0.007263801169165779,0.625
Q4,17.0,0.03859720442368717,0.00798209111977645,0.47058823529411764
Q5 (best SPY months),17.0,0.07372585704771974,-0.00483868396962972,0.5294117647058824
SPY down months,28.0,-0.04501042284182955,0.009503210719357577,0.6071428571428571
SPY up months,56.0,0.040486656170842475,0.0045441273546271005,0.5535714285714286
All months,84.0,0.011987629833285132,0.006197155142870593,0.5714285714285714
