year,pelosi_hold_days,cramer_hold_days,beta_window,train_sharpe,oos_year_return,oos_year_sharpe
2020,504,126,252,0.7666278032236082,0.05044169369661544,0.32071565580003064
2021,504,126,252,0.5798030317102123,0.06685222724600415,0.5240233395423348
2022,252,63,252,0.6901472049652395,-0.25024122165805596,-1.8922064109073793
2023,252,126,63,0.28606458290502146,0.28190622858431924,1.660629307951691
2024,252,63,63,0.4475909800500359,0.2524970515559217,1.1971452758504595
