variant,sharpe,cagr,max_dd,n_days,long_leg_sharpe,long_leg_cagr
trade date (LOOKAHEAD - not implementable),0.22096334623470254,0.045030817301407344,-0.3416758439405235,1761,0.13224733044122744,0.032211619395246416
filing date + 1 session (baseline),0.36771666611799997,0.06593866233425971,-0.29565765509561126,1761,0.2873497971380345,0.05289586270315971
filing date + 5 sessions,0.45096527674047054,0.0782553861038846,-0.29616358097372475,1761,0.3601714078388127,0.06285447565114133
filing date + 21 sessions,0.4766683186039633,0.08180307528696407,-0.29675806450136233,1761,0.3958526634112536,0.067442270491614
filing date + 45 sessions,0.443909820062783,0.0780406566956442,-0.289401827814597,1761,0.382918400586808,0.06587401643584334
