trial,sharpe,cagr,max_dd,n_days
0,0.07941451770152318,0.025388415538628584,-0.2857481583725324,1761
1,-0.5900396754441289,-0.06548310848522598,-0.46724411303216773,1761
2,-0.06985750868537025,0.004750281733554074,-0.3694286485118322,1761
3,-0.30874686311272764,-0.025057971361087228,-0.3003730840588873,1761
4,0.4868500623831821,0.08932122253493513,-0.234130040968623,1761
5,-0.1679846143205757,-0.003083440047443653,-0.38130010751201715,1761
6,0.3643085188546652,0.06362041260176654,-0.2504110191878417,1761
7,0.13796811541358742,0.03247853235331477,-0.3698839421872704,1761
8,-0.1042296430155661,0.0011484918077531159,-0.2882259150822081,1761
9,0.6942656877867975,0.10136929900142522,-0.12251571250275928,1761
10,-0.29470353142078737,-0.023126833972093697,-0.31918175700759177,1761
11,0.5815490235425786,0.11383589338706557,-0.1961644250383895,1761
12,0.050450546762110894,0.021497934183702494,-0.24248512630609576,1761
13,-0.5363455317747864,-0.05700341398774378,-0.4127857297751183,1761
14,-0.2352474028626789,-0.01170249838131332,-0.2076071385544942,1761
15,0.07576835524525696,0.025384508232047187,-0.24439538001648675,1761
16,0.30093451202338545,0.051952650468320316,-0.16828669010685116,1761
17,-0.3399951078998821,-0.02065662694016046,-0.3651340314361078,1761
18,-0.8947569650397199,-0.0877010279426802,-0.5173394708915772,1761
19,-0.1980371004652008,-0.004852871010205262,-0.2886951475513587,1761
20,0.21621036136423494,0.04335029799510992,-0.2794977608258925,1761
21,-0.24080023318526214,-0.010361249415106077,-0.28720702791639774,1761
22,-0.1571908298123482,-0.0026055272694482934,-0.3812285881917963,1761
23,-0.33933114558727484,-0.029552281592618246,-0.35701191453387005,1761
24,-0.2972358288943249,-0.0210486476148265,-0.38075543804350664,1761
25,0.1895005925189966,0.03974974148279098,-0.3621844515893379,1761
26,-0.0072362763951220824,0.004254860183584119,-0.25141763625048463,1761
27,0.26792648464408014,0.04987417090611168,-0.2579833450921384,1761
28,-0.09734874924408846,0.0008165795830472611,-0.29016302139531924,1761
29,-0.4686078318732443,-0.04007450508508681,-0.3930263372179996,1761
30,0.19946531750682395,0.03997533778794349,-0.2540319727916487,1761
31,-0.07034295199896648,-0.00313896499921662,-0.500033760478364,1761
32,0.532385144852079,0.0876431544766012,-0.2517025412846996,1761
33,-0.08327671203551729,0.005021984321612827,-0.30960070178637045,1761
34,0.20158698415706666,0.04153718591296385,-0.20079766200999738,1761
35,0.15382379178987518,0.03544694889593614,-0.208887734276766,1761
36,0.4882620054628915,0.08050020034531591,-0.19573265010469787,1761
37,0.06346799912654984,0.020131782052810188,-0.3045394096715157,1761
38,0.39138590503431064,0.06523515164227711,-0.22894151485241254,1761
39,0.08186870745230371,0.02580404775744838,-0.36631248822324924,1761
40,0.1206365190508718,0.030726315299708373,-0.15904312850135827,1761
41,-0.39403562194553765,-0.03400419223203244,-0.3975740161791088,1761
42,0.3111658662820292,0.06323218535903807,-0.3489148333450942,1761
43,0.28021798304708473,0.04951780672053885,-0.1750568689617371,1761
44,-0.0854859803521788,0.0037346536142270903,-0.235051227916781,1761
45,0.0632230346405626,0.02271371822564805,-0.25889149410929735,1761
46,0.4120594241605096,0.06542049220983981,-0.20767313291062162,1761
47,-0.03278766384047902,0.013124529840207178,-0.30255590116003783,1761
48,0.4132584438833103,0.06818189776874384,-0.26787337441727443,1761
49,0.6116729352521498,0.09205207397316695,-0.1553887903836364,1761
50,0.7996170460206996,0.13572994292148377,-0.2346179970363279,1761
51,0.21264005628088625,0.041568912904340394,-0.25591686823415405,1761
52,-0.14309539688931833,-0.0076066772236820235,-0.3067955681393296,1761
53,0.3592766756080119,0.0633434506342554,-0.2967563545627123,1761
54,0.7699555499486294,0.12159277000421831,-0.3113535636786642,1761
55,0.24043033291296806,0.04412407972827315,-0.19082186629754483,1761
56,1.0504343717426712,0.15327436322107246,-0.12160607454118721,1761
57,0.4974032189052158,0.08649017283881122,-0.24264746006008864,1761
58,0.25796598223251893,0.04902504032858612,-0.16585754478003967,1761
59,0.2557103096507019,0.049737030978903585,-0.2710785894584372,1761
60,-0.2193900552472555,-0.0131411417445505,-0.3471786786552249,1761
61,-0.0764546052772182,0.006069989092756023,-0.2828715101667172,1761
62,0.3278939267249747,0.05998510408588564,-0.24417038170387706,1761
63,-0.5140657034881799,-0.03753510065594323,-0.3403652812595286,1761
64,-0.365899372219469,-0.05256347848697074,-0.5599522919680416,1761
65,0.3084517149493739,0.054640101889151804,-0.23594054499437533,1761
66,0.14953735985018624,0.034704362257342414,-0.2393064009535062,1761
67,0.5722474695068981,0.08614210322956972,-0.2583506089359162,1761
68,-0.36359525018062433,-0.02896755240595139,-0.36268477468525706,1761
69,0.6220237093857295,0.10502716059429473,-0.14340792885569165,1761
70,0.31083043332343646,0.05275175252878661,-0.22129139184781643,1761
71,1.1170425399582458,0.17015392134385388,-0.18673366883254594,1761
72,0.2956746193952704,0.0562869113424973,-0.2740688872821463,1761
73,0.013968148243580326,0.016167723412224833,-0.18030856871486378,1761
74,0.8181570900744563,0.11630317130502799,-0.14898547586752098,1761
75,0.14786588339104978,0.03413480755391318,-0.2844957833061714,1761
76,-0.23377660920372934,-0.01535584234933185,-0.23422056785891687,1761
77,0.7202526222260075,0.10988087030127525,-0.19486125513432995,1761
78,0.06239406705009305,0.02179296714589074,-0.3652580279446127,1761
79,-0.25691287983641653,-0.024566410944289907,-0.41092049883570636,1761
80,0.37149620683323403,0.0659383402101732,-0.22708063050476635,1761
81,-0.334448365099777,-0.02763618320401584,-0.30217682344255714,1761
82,0.5239678324522465,0.08395801932578983,-0.2441421063679593,1761
83,0.08588978243033726,0.026673820629712575,-0.2408861308989635,1761
84,0.3336216511071726,0.06228441462046641,-0.24138542376991912,1761
85,0.1297634600095768,0.031853993121733426,-0.32860693908194427,1761
86,0.1152734250800267,0.03005356573510265,-0.2795370846677334,1761
87,-0.14742741531539105,-0.0031814309722904,-0.4044399279599359,1761
88,0.010832293163945239,0.01678192422239322,-0.18368704899744193,1761
89,0.21350393050227415,0.04513919089729779,-0.2943805470550578,1761
90,0.08845262564926057,0.026786381616540123,-0.1857262625791427,1761
91,0.19604907815082157,0.04153389571743249,-0.23891998912297896,1761
92,0.14312873990096545,0.033589527054317836,-0.2906516742291353,1761
93,0.24605131796324156,0.046347968485430435,-0.21720669147371963,1761
94,0.12321205748405589,0.030982504179374315,-0.22509993255380167,1761
95,0.5223445985265142,0.08450711162280666,-0.2667047075832205,1761
96,0.0028396122958817428,0.016962131571939487,-0.23754379668524594,1761
97,0.10498488616368232,0.028847738189262673,-0.25544605426702416,1761
98,0.11645263381694163,0.028700615021464815,-0.32607631311932617,1761
99,0.6663316244025098,0.10287886121297207,-0.20486748765248608,1761
100,0.34876604373619435,0.06506211467850354,-0.22663121451676982,1761
101,-0.2659236778490312,-0.021156140989205485,-0.4053557033511097,1761
102,-0.08990300521511878,0.006063523576959051,-0.3446751079390544,1761
103,0.7849433589474305,0.12680757263512277,-0.15231398002024676,1761
104,-0.036693478260987615,-0.008648278458188607,-0.4723088109587753,1761
105,0.39461695699600546,0.06353455320502532,-0.22088975246036324,1761
106,0.24290841440064423,0.046595730379223044,-0.22450179057482933,1761
107,0.8025776571983481,0.14178520945917716,-0.2285259185113091,1761
108,0.11544857101399895,0.030053714281420563,-0.31902324525079884,1761
109,-0.3750621134617015,-0.038914905506170605,-0.40690372943418884,1761
110,0.3541896011228601,0.062090127051399824,-0.17429751655870118,1761
111,0.1618477996927387,0.035564347041605604,-0.22521876894581339,1761
112,0.9370923355676117,0.15051398985207531,-0.19267702222452654,1761
