trial,sharpe,cagr,max_dd,n_days
0,-0.027933769533053637,0.008843271509635597,-0.39349567840623023,1761
1,-0.10026277384766139,-0.002043702660145974,-0.3976015282632325,1761
2,-0.22078129645501948,-0.01852443774185597,-0.4662785537088433,1761
3,-0.23260603530700677,-0.019530644052748403,-0.4258694168075824,1761
4,-0.10751703702121901,-0.002049064563235059,-0.3889223764205554,1761
5,-0.05946908051091336,0.0038824565408643874,-0.3831786600984579,1761
6,-0.26648914365602194,-0.025176086990855384,-0.4285859967862766,1761
7,-0.014905050624061148,0.010581246366819785,-0.41307957687480734,1761
8,-0.20111564651304006,-0.016355150326982648,-0.3971018295629821,1761
9,-0.12001030004734728,-0.005167923339494007,-0.4389554937197401,1761
10,-0.06260327416946308,0.0037092145860750936,-0.39477879383528836,1761
11,-0.19519824537596048,-0.014997701220968107,-0.41164636971518864,1761
12,-0.13625595628129963,-0.006173150712401654,-0.3915440028701781,1761
13,-0.1630384992738903,-0.010221637476914625,-0.41858776970676914,1761
14,-0.13672551599691965,-0.006787118267198133,-0.4122847803768994,1761
15,-0.15987110855463382,-0.010630546091750626,-0.4600099069273379,1761
16,-0.028070457547350276,0.00841036761285685,-0.41962841365466097,1761
17,0.007710389456490416,0.013557420634571882,-0.40352918074081146,1761
18,-0.12005915858568257,-0.003955857678106467,-0.38377208216494185,1761
19,-0.1380069013056975,-0.0070755221540117486,-0.42423796278210923,1761
20,0.04241485573033501,0.019056772088546836,-0.33666189705122873,1761
21,-0.06275544619554692,0.0033729920772995747,-0.3511471601970946,1761
22,-0.19035213834930248,-0.014362783772131849,-0.4426831014771734,1761
23,-0.25632275893913525,-0.02345760602889202,-0.46002199088346996,1761
24,0.024655628137390126,0.016330001258725746,-0.3822608490268604,1761
25,-0.06237263275190864,0.0036238752483965797,-0.4067667785848629,1761
26,-0.11597555556685103,-0.0037192385417911256,-0.4164777505580911,1761
27,-0.0636310823495108,0.0034299277168916564,-0.3872690202994822,1761
28,0.006908793005060448,0.0134234651211953,-0.4130898599376005,1761
29,-0.2037024883461557,-0.017346394973855372,-0.44258331182105204,1761
30,-0.052436321891907424,0.005608358819546799,-0.3810108494449773,1761
31,0.018591935292420595,0.015425879184366886,-0.36476496513780554,1761
32,0.042743768268996375,0.019076046446924178,-0.3994253672755683,1761
33,0.06952509272333193,0.02285659835973397,-0.3289203143792926,1761
34,0.05076299918309613,0.02029477906612409,-0.3739512561293974,1761
35,-0.14764332232631902,-0.008902151348210152,-0.3751137918145264,1761
36,-0.09836836183855698,-0.0008182417548188159,-0.3845627891720853,1761
37,-0.11972803546219447,-0.0045880828856246225,-0.3948910123471868,1761
