,gain,ci_low,ci_high,p_gain_le_0
SPY,0.05242107671536467,-0.10021442155193473,0.1903108920602604,0.2665
60/40,0.07763655169703665,-0.16445348508110202,0.2918027056666632,0.2805
QQQ,0.020607327942125386,-0.0938553604374742,0.12750765795203842,0.384
