,strategy,SPY,QQQ,IWM,AGG,60/40
Q4-2018 sell-off (2018-09-20 → 2018-12-24),0.008356173573902392,-0.18695320512327318,-0.2108946842154018,-0.2535433073994151,0.017720874632078498,-0.10924461769869842
COVID crash (2020-02-19 → 2020-03-23),0.12525252413272692,-0.3340035511185686,-0.2722564678275702,-0.4037243220652367,-0.013700140221010071,-0.21500616665260364
2022 bear market (2022-01-03 → 2022-10-12),-0.08820249984966433,-0.240592262364685,-0.33652422902348045,-0.24073006529142382,-0.14960312790503627,-0.2013560743685977
Regional-bank stress (2023-02-02 → 2023-03-13),0.05168435385835335,-0.061927941598980185,-0.03399583673760831,-0.10890044826438672,-0.015610685814446468,-0.04336207520387092
Aug-2024 vol shock (2024-07-16 → 2024-08-05),-0.02667041023506278,-0.07862437921050336,-0.12250340478703847,-0.06901805296966068,0.025583032944213713,-0.03791590152393498
