,CAGR,Vol,Sharpe,MaxDD,Beta vs SPY,Alpha ann.,Alpha t
L/S net (default),0.06593866233425971,0.13657822640417386,0.36771666611799997,-0.29565765509561126,0.008757355229465507,0.04912311317470638,0.9141544174001387
Long Pelosi only (hedged),0.05289586270315971,0.12792362194885165,0.2873497971380345,-0.3301530928026635,0.018534403140732545,0.03444545579722901,0.7161568209236447
Short Cramer only (hedged),0.030056018690946207,0.0841476364566033,0.12117173102302871,-0.3367502406431664,-0.005672455954332587,0.010899851830872232,0.31708596491590646
L/S unhedged (no SPY overlay),0.034023688484567494,0.15423201353802654,0.14500467394994343,-0.3244168887621952,-0.11049764179326299,0.03616239887313892,0.5858012914689199
L/S before costs & borrow,0.116313901266613,0.13657640126916193,0.7059559438943129,-0.2563287102839935,0.008749340545868158,0.09531427063032256,1.7730241207159352
"Long Pelosi only (hedged), before costs",0.06141161788434091,0.12790801616305397,0.35035457745960763,-0.3217098989325373,0.018534196525658325,0.04250023056013781,0.8842185943597101
"Short Cramer only (hedged), before costs & borrow",0.07326848587671075,0.084221222822249,0.6094004418645841,-0.3122111811009525,-0.005777941135296753,0.052022206084086815,1.510625297059757
