ticker,date,ret,level_ratio
AMC,2021-01-27,3.012093361526257,2.9999978422827818
BNGO,2019-10-16,4.181818181818182,3.4545454545454546
KNTK,2020-11-05,2.044895124661649,3.087915706480751
THS,2026-02-11,4.5259925629799795,5.439672631896079
